TotalBsmtSF,ScreenPorch,PoolArea,BsmtFinSF2,LowQualFinSF,HalfBath,BsmtFinSF1,BedroomAbvGr,OpenPorchSF,BsmtHalfBath,house_Age,GarageCars,GrLivArea,WoodDeckSF,Fireplaces,LotFrontage,MasVnrArea,EnclosedPorch,2ndFlrSF,BsmtUnfSF,BsmtFullBath,3SsnPorch,LotArea,OverallCond,OverallQual,FullBath,KitchenAbvGr,SalePrice,MiscVal,MSSubClass,MSZoning,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,GarageType,MiscFeature,SaleType,SaleCondition,LotShape,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,Electrical,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,PavedDrive,PoolQC,Fence
856,0,0,0,0,1,706,3,61,0,5,2,1710,0,0,65.0,196.0,0,854,150,1,0,8450,5,7,2,1,208500,0,60,RL,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Gd,TA,No,GLQ,Unf,Ex,SBrkr,Gd,Typ,,RFn,TA,Y,,
1262,0,0,0,0,0,978,3,0,1,31,2,1262,298,1,80.0,0.0,0,0,284,0,0,9600,8,6,2,1,181500,0,20,RL,Lvl,FR2,Veenker,Feedr,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,CBlock,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,Gd,TA,Gd,ALQ,Unf,Ex,SBrkr,TA,Typ,TA,RFn,TA,Y,,
920,0,0,0,0,1,486,3,42,0,7,2,1786,0,1,68.0,162.0,0,866,434,1,0,11250,5,7,2,1,223500,0,60,RL,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,Gd,TA,Gd,TA,Mn,GLQ,Unf,Ex,SBrkr,Gd,Typ,TA,RFn,TA,Y,,
756,0,0,0,0,0,216,3,35,0,91,3,1717,0,1,60.0,0.0,272,756,540,1,0,9550,5,7,1,1,140000,0,70,RL,Lvl,Corner,Crawfor,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,,BrkTil,GasA,Y,Detchd,,WD,Abnorml,IR1,Gtl,TA,TA,TA,Gd,No,ALQ,Unf,Gd,SBrkr,Gd,Typ,Gd,Unf,TA,Y,,
1145,0,0,0,0,1,655,4,84,0,8,3,2198,192,1,84.0,350.0,0,1053,490,1,0,14260,5,8,2,1,250000,0,60,RL,Lvl,FR2,NoRidge,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,,WD,Normal,IR1,Gtl,Gd,TA,Gd,TA,Av,GLQ,Unf,Ex,SBrkr,Gd,Typ,TA,RFn,TA,Y,,
796,0,0,0,0,1,732,1,30,0,16,2,1362,40,0,85.0,0.0,0,566,64,1,320,14115,5,5,1,1,143000,700,50,RL,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,,Wood,GasA,Y,Attchd,Shed,WD,Normal,IR1,Gtl,TA,TA,Gd,TA,No,GLQ,Unf,Ex,SBrkr,TA,Typ,,Unf,TA,Y,,MnPrv
1686,0,0,0,0,0,1369,3,57,0,3,2,1694,255,1,75.0,186.0,0,0,317,1,0,10084,5,8,2,1,307000,0,20,RL,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,Gd,TA,Ex,TA,Av,GLQ,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
1107,0,0,32,0,1,859,3,204,0,36,2,2090,235,2,70.0,240.0,228,983,216,1,0,10382,6,7,2,1,200000,350,60,RL,Lvl,Corner,NWAmes,PosN,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,Shed,WD,Normal,IR1,Gtl,TA,TA,Gd,TA,Mn,ALQ,BLQ,Ex,SBrkr,TA,Typ,TA,RFn,TA,Y,,
952,0,0,0,0,0,0,2,0,0,77,2,1774,90,2,51.0,0.0,205,752,952,0,0,6120,5,7,2,2,129900,0,50,RM,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,,BrkTil,GasA,Y,Detchd,,WD,Abnorml,Reg,Gtl,TA,TA,TA,TA,No,Unf,Unf,Gd,FuseF,TA,Min1,TA,Unf,Fa,Y,,
991,0,0,0,0,0,851,2,4,0,69,1,1077,0,2,50.0,0.0,0,0,140,1,0,7420,6,5,1,2,118000,0,190,RL,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,,BrkTil,GasA,Y,Attchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,GLQ,Unf,Ex,SBrkr,TA,Typ,TA,RFn,Gd,Y,,
1040,0,0,0,0,0,906,3,0,0,43,1,1040,0,0,70.0,0.0,0,0,134,1,0,11200,5,5,1,1,129500,0,20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,,CBlock,GasA,Y,Detchd,,WD,Normal,Reg,Gtl,TA,TA,TA,TA,No,Rec,Unf,Ex,SBrkr,TA,Typ,,Unf,TA,Y,,
1175,0,0,0,0,0,998,4,21,0,1,3,2324,147,2,85.0,286.0,0,1142,177,1,0,11924,5,9,3,1,345000,0,60,RL,Lvl,Inside,NridgHt,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,,New,Partial,IR1,Gtl,Ex,TA,Ex,TA,No,GLQ,Unf,Ex,SBrkr,Ex,Typ,Gd,Fin,TA,Y,,
912,176,0,0,0,0,737,2,0,0,46,1,912,140,0,70.0,0.0,0,0,175,1,0,12968,6,5,1,1,144000,0,20,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Hip,CompShg,HdBoard,Plywood,,CBlock,GasA,Y,Detchd,,WD,Normal,IR2,Gtl,TA,TA,TA,TA,No,ALQ,Unf,TA,SBrkr,TA,Typ,,Unf,TA,Y,,
1494,0,0,0,0,0,0,3,33,0,1,3,1494,160,1,91.0,306.0,0,0,1494,0,0,10652,5,7,2,1,279500,0,20,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,,New,Partial,IR1,Gtl,Gd,TA,Gd,TA,Av,Unf,Unf,Ex,SBrkr,Gd,Typ,Gd,RFn,TA,Y,,
